relation	count
کشور	825096
موقعیت در تقسیمات کشوری	398487
زیربخش	318462
تبعۀ	213127
عضو تیم ورزشی	197044
پیشه	174392
نمونهای از	111458
رابطۀ دیپلماتیک	106390
زبان رسمی	99847
زیرردۀ	52507
ورزش	50930
طبقه آرایهشناختی	49368
هممرز با	43635
زادروز	42605
جزئی از	39980
دربرگیرنده	32386
زادگاه	24620
پایتخت	23893
زمان مرگ	23138
با هنرمندی	22817
نوع اثر باستانی	22161
آرایهٔ والد	17840
تاریخ کشف	16553
سبک	14907
مکان کنونی	13052
متفاوت است با	12872
جوایز	12169
زادگاه فرهنگی	11634
درجه بالاتر	11143
فرزند	11100
زبان مورد استفاده	11024
محل ستاد	11019
درجه پایینتر	10850
شرکت داشته است در	10026
پدرش	9534
کارگردان	9499
اجرا کننده	9456
نامیده به نامِ	9084
پایتخت است برای	8981
پیش از	8970
اثر (ها)	8968
همنیا	8583
زمینه کاری	8420
همسر	8402
پس از	7966
متضادِ	7962
کار میکند/میکرد در	7520
از اعضای	7486
محل مرگ	7406
کشور (ورزشکار)	7134
بنیانگذار	6513
با حضورِ	6097
نویسنده	5968
دانشآموختهٔ	5750
جنگها	5729
عضو حزب	5591
سازنده	5490
زبانهای شخص	5084
پست (درون تیم)	4982
متشکل از عناصر	4941
منصب	4857
آب سطحی پیرامون	4821
زمان رویداد	4571
پیرامون	4561
دارنده	4189
تاریخ انتشار	4025
دین	3894
تولیدکنندهٔ	3849
برنده	3729
نهاد ارشد	3725
به جای	3717
متأثر از	3690
تیمهای شرکتکننده	3665
صورت فلکی	3644
موقعیت	3612
لیگ	3569
قاره	3555
اشاره شده در کتابِ	3492
کاربری	3275
رخداد مهم	3236
بومی برای	3216
کارفرما	3182
شهرهای تحت پوشش	3073
شرکتهای زیرمجموعه	3001
پدیدآورنده	2885
صنعت	2758
نامزد جایزۀ	2662
خاندان	2531
موضوع مطالعهشده در	2485
مادرش	2482
فصل ورزشی	2461
دارایی	2417
جایگزینشده توسط	2403
شهرهای خواهرخوانده	2296
سکو	2246
پیامدها	2222
سکونتگاههای در محدوده	2218
توسعهدهنده	2120
متعلق به حوزهٔ قضایی	2106
شخصیتها	2047
زبان اثر یا نام	1990
مکان شکلگیری	1956
تاریخ ساخت / تأسیس	1933
زمان پایان	1916
مسئول سازماندهی	1891
کشورهای ساحلی دریاچه	1887
مواد سازنده	1874
بر پایه	1869
مربی تیم(های) ورزشیِ	1819
برچسب ضبط	1799
جنبش ادبی	1776
کاشف	1749
موضوع اصلی	1736
متصل به	1718
دارای خصوصیت	1694
گفته میشود یکی است با	1685
به کار میبرد	1654
ساز	1643
زمان آغاز	1633
دنباله	1616
نقش موضوع موردنظر در این رویداد	1556
شاخهٔ نظامی	1556
محل انجام کار	1522
علتهای احتمالی	1504
دوران	1492
واقع شده در سرزمین ... امروزی	1487
میریزد به	1471
پخش شده از شبکه یا کانالِ	1445
قوم	1383
سامانه بزرگراهی	1367
بهابازار	1352
خویشاوند	1330
آهنگساز	1288
موضوع مورد مطالعه	1282
در رشتۀ ورزشیِ	1276
جای زندگی	1232
مرکز خطوط هوایی	1221
تهیهکننده	1210
ناشر	1200
سیستم عامل	1191
از دانشجویانِ	1160
زبان مادری	1125
خطوط ارتباطی	1115
شخص برجسته	1072
یار	1065
فیلمنامهنویس	1058
مأموریتهای فضایی موفق	1047
به کار رفته توسط	1043
دارای همپوشانی با	1023
کمارتفاعترین نقطه	1005
